trial,coCond Force(0) Move(1),ffCond0 [N/(mm/s)],ffCond1 [N/(mm/s)],ffCond2 [N/(mm/s)],ffCond3 [N/(mm/s)],ffCond4 [N/(mm/s)],ffCond5 [N/(mm/s)],ffCond6 [N/(mm/s)],ffCond7 [N/(mm/s)],vmCond [deg],targetAngle[deg],targetDistance[mm],targetForce[N],targetColor,errorCramp
1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000
fs[Hz],recordTime[ms],maxSample,ks[N/mm],kb[N/(mm/s)],kConnection[N/mm],dConnection[N/(mm/s)],VisNoisePosSTD,VisNoiseVelSTD,ConnectionType
1000,15000,15001,0.800000,0.000100,0.100000,0.000100,10.0,5.0,0
targetRadius[mm],cursorRadius[mm],pOffset[mm], , ,dOffset
5.000000,3.000000,0.000000,450.000000,10.000000,0.000000,0.000000,0.000000
p2dScale,p2dScaleForForce,p2dMatrix
1.000000,-nan(ind),1.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,1.000000,0.000000
 , , ,
 , , ,
 , , ,
time[ms],instRate[Hz],posX[mm],posY[mm],posZ[mm],velX[mm],velY[mm],velZ[mm],forceX[N],forceY[N],forceZ[N],TargetX,TargetY
10375,1000.724365,6.281305,160.367645,-0.377533,0.021533,0.002998,0.001732,0.000000,-0.000000,0.302026,7.379616,3.216299
10376,1000.153687,6.281305,160.367645,-0.377533,0.015644,0.002178,0.001258,0.000000,-0.000000,0.302026,7.608956,3.340076
10377,986.372070,6.281305,160.367645,-0.377533,0.011366,0.001582,0.000914,0.000000,-0.000000,0.302026,7.838179,3.463700
10378,951.584106,6.281305,160.367645,-0.377533,0.008258,0.001150,0.000664,0.000000,-0.000000,0.302026,8.067282,3.587168
10379,1035.283081,6.281305,160.367645,-0.377533,0.006000,0.000835,0.000483,0.000000,-0.000000,0.302026,8.296260,3.710477
10380,1011.401123,6.281305,160.367645,-0.377533,0.004359,0.000607,0.000351,0.000000,-0.000000,0.302026,8.525110,3.833623
10381,930.381714,6.281305,160.367645,-0.377533,0.003167,0.000441,0.000255,0.000000,-0.000000,0.302026,8.753829,3.956603
10382,1049.532959,6.281305,160.367645,-0.377533,0.002301,0.000320,0.000185,0.000000,-0.000000,0.302026,8.982413,4.079414
10383,990.550415,6.281305,160.367645,-0.377533,0.001672,0.000233,0.000134,0.000000,-0.000000,0.302026,9.210859,4.202053
10384,1004.737610,6.281305,160.367645,-0.377533,0.001215,0.000169,0.000098,0.000000,-0.000000,0.302026,9.439163,4.324515
10385,1003.587708,6.281305,160.367645,-0.377533,0.000882,0.000123,0.000071,0.000000,-0.000000,0.302026,9.667322,4.446798
10386,1004.162354,6.281305,160.367645,-0.377533,0.000641,0.000089,0.000052,0.000000,-0.000000,0.302026,9.895331,4.568898
10387,989.432739,6.281305,160.367645,-0.377533,0.000466,0.000065,0.000037,0.000000,-0.000000,0.302026,10.123189,4.690812
10388,1018.449158,6.281305,160.367645,-0.377533,0.000338,0.000047,0.000027,0.000000,-0.000000,0.302026,10.350890,4.812538
10389,1016.088928,6.281305,160.367645,-0.377533,0.000246,0.000034,0.000020,0.000000,-0.000000,0.302026,10.578432,4.934070
10390,953.394653,6.281305,160.367645,-0.377533,0.000179,0.000025,0.000014,0.000000,-0.000000,0.302026,10.805812,5.055407
10391,1019.337097,6.281305,160.367645,-0.377533,0.000130,0.000018,0.000010,0.000000,-0.000000,0.302026,11.033025,5.176544
10392,1000.438965,6.281851,160.362503,-0.373199,0.074714,-0.703049,0.591288,0.000000,-0.000000,0.302026,11.260068,5.297479
10393,1001.581665,6.281851,160.362503,-0.373199,0.128902,-1.213857,1.020877,0.000000,-0.000000,0.298560,11.486938,5.418208
10394,1021.712524,6.281851,160.362503,-0.373199,0.093653,-0.881919,0.741710,0.000000,-0.000000,0.298560,11.713631,5.538727
10395,972.156067,6.281851,160.362503,-0.373199,0.068043,-0.640751,0.538884,0.000000,-0.000000,0.298560,11.940144,5.659034
10396,1006.756287,6.281851,160.362503,-0.373199,0.049436,-0.465533,0.391522,0.000000,-0.000000,0.298560,12.166473,5.779126
10397,991.390320,6.280226,160.362335,-0.373199,-0.184383,-0.361605,0.284458,0.000000,-0.000000,0.298560,12.392616,5.898998
10398,1009.654297,6.280226,160.362335,-0.373199,-0.354253,-0.286096,0.206670,0.000000,-0.000000,0.298560,12.618567,6.018647
10399,1015.500549,6.280226,160.362335,-0.373199,-0.257380,-0.207861,0.150155,0.000000,-0.000000,0.298560,12.844325,6.138071
10400,960.443298,6.280226,160.362335,-0.373199,-0.186998,-0.151020,0.109094,0.000000,-0.000000,0.298560,13.069885,6.257266
10401,1024.697388,6.280226,160.362335,-0.373199,-0.135862,-0.109722,0.079261,0.000000,-0.000000,0.298560,13.295245,6.376228
