trial,coCond Force(0) Move(1),ffCond0 [N/(mm/s)],ffCond1 [N/(mm/s)],ffCond2 [N/(mm/s)],ffCond3 [N/(mm/s)],ffCond4 [N/(mm/s)],ffCond5 [N/(mm/s)],ffCond6 [N/(mm/s)],ffCond7 [N/(mm/s)],vmCond [deg],targetAngle[deg],targetDistance[mm],targetForce[N],targetColor,errorCramp
1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000
fs[Hz],recordTime[ms],maxSample,ks[N/mm],kb[N/(mm/s)],kConnection[N/mm],dConnection[N/(mm/s)],VisNoisePosSTD,VisNoiseVelSTD,ConnectionType
1000,15000,15001,0.800000,0.000100,0.100000,0.000100,10.0,5.0,0
targetRadius[mm],cursorRadius[mm],pOffset[mm], , ,dOffset
5.000000,3.000000,0.000000,450.000000,10.000000,0.000000,0.000000,0.000000
p2dScale,p2dScaleForForce,p2dMatrix
1.000000,-nan(ind),1.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,1.000000,0.000000
 , , ,
 , , ,
 , , ,
time[ms],instRate[Hz],posX[mm],posY[mm],posZ[mm],velX[mm],velY[mm],velZ[mm],forceX[N],forceY[N],forceZ[N],TargetX,TargetY
9872,999.583618,1.554294,-1.568300,-2.075623,1.171725,-11.789370,-0.768848,0.000000,-0.000000,1.659814,3.098238,9.777636
9873,998.445496,1.554388,-1.581747,-2.076508,1.707012,-12.233143,-0.798805,0.000000,-0.000000,1.660498,3.240259,10.101868
9874,1001.010010,1.554436,-1.588470,-2.076965,1.259625,-11.643813,-0.760531,0.000000,-0.000000,1.661206,3.382766,10.425935
9875,999.583618,1.554530,-1.601917,-2.077820,0.934609,-11.217703,-0.733296,0.000000,-0.000000,1.661572,3.525756,10.749831
9876,1001.867737,1.554577,-1.608641,-2.078278,0.698444,-10.908918,-0.713367,0.000000,-0.000000,1.662256,3.669227,11.073550
9877,999.298889,1.554672,-1.622087,-2.079163,0.526865,-10.684021,-0.699278,0.000000,-0.000000,1.662622,3.813176,11.397087
9878,991.670654,1.554719,-1.628811,-2.079590,0.402122,-10.511261,-0.688257,0.000000,-0.000000,1.663330,3.957602,11.720437
9879,1000.724365,1.554766,-1.635534,-2.080017,0.305041,-9.468419,-0.620253,0.000000,-0.000000,1.663672,4.102503,12.043595
9880,1007.045349,1.554861,-1.648981,-2.080902,0.241116,-9.650610,-0.632779,0.000000,-0.000000,1.664014,4.247875,12.366555
9881,999.868591,1.554908,-1.655704,-2.081360,0.194661,-9.782201,-0.641701,0.000000,-0.000000,1.664722,4.393717,12.689312
9882,999.868591,1.548882,-1.662471,-2.081787,-0.676266,-8.951279,-0.587089,0.000000,-0.000000,1.665088,4.540027,13.011861
9883,1000.153687,1.548929,-1.669194,-2.082245,-1.308878,-8.347835,-0.547469,0.000000,-0.000000,1.665430,4.686802,13.334196
9884,999.868591,1.548976,-1.675917,-2.082672,-0.938113,-7.903590,-0.518728,0.000000,-0.000000,1.665796,4.834040,13.656313
9885,1042.049561,1.549023,-1.682640,-2.083130,-0.668458,-7.619338,-0.500426,0.000000,-0.000000,1.666138,4.981738,13.978205
9886,958.082214,1.555144,-1.689321,-2.083557,0.323164,-7.368819,-0.484657,0.000000,-0.000000,1.666504,5.129895,14.299868
9887,1002.726990,1.555192,-1.696044,-2.084015,1.043260,-7.150642,-0.470876,0.000000,-0.000000,1.666846,5.278507,14.621296
9888,991.951050,1.555239,-1.702767,-2.084442,0.770884,-7.028852,-0.462965,0.000000,-0.000000,1.667212,5.427574,14.942484
9889,1001.581665,1.555239,-1.702767,-2.084442,0.566490,-6.018615,-0.396381,0.000000,-0.000000,1.667554,5.577091,15.263428
9890,1007.045349,1.555286,-1.709491,-2.084900,0.418097,-5.298500,-0.349089,0.000000,-0.000000,1.667554,5.727057,15.584120
9891,1021.414978,1.555333,-1.716214,-2.085327,0.316881,-5.714241,-0.376602,0.000000,-0.000000,1.667920,5.877469,15.904557
9892,970.542053,1.555381,-1.722937,-2.085785,0.243105,-5.982734,-0.394450,0.000000,-0.000000,1.668262,6.028326,16.224734
9893,1008.203247,1.555381,-1.722937,-2.085785,0.182897,-5.238880,-0.345393,0.000000,-0.000000,1.668628,6.179624,16.544644
9894,1001.295776,1.555428,-1.729660,-2.086212,0.139356,-4.726699,-0.311766,0.000000,-0.000000,1.668628,6.331361,16.864282
9895,999.583618,1.561504,-1.729617,-2.086212,0.938227,-4.348723,-0.287212,0.000000,-0.000000,1.668970,6.483536,17.183644
9896,999.014221,1.561551,-1.736341,-2.086670,1.518576,-4.072004,-0.269366,0.000000,-0.000000,1.668970,6.636144,17.502725
9897,1000.153687,1.561551,-1.736341,-2.086670,1.109791,-3.876823,-0.256298,0.000000,-0.000000,1.669336,6.789184,17.821518
9898,991.670654,1.561599,-1.743064,-2.087097,0.812767,-3.728256,-0.246479,0.000000,-0.000000,1.669336,6.942654,18.140019
9899,1002.153992,1.561599,-1.743064,-2.087097,0.596942,-3.620323,-0.239253,0.000000,-0.000000,1.669678,7.096550,18.458222
9900,1006.467407,1.567675,-1.743020,-2.087097,1.269935,-2.624383,-0.173828,0.000000,-0.000000,1.669678,7.250871,18.776123
9901,1000.724365,1.567675,-1.743020,-2.087097,1.758820,-1.900802,-0.126293,0.000000,-0.000000,1.669678,7.405614,19.093716
9902,1057.762085,1.567675,-1.743020,-2.087097,1.277857,-1.381014,-0.091757,0.000000,-0.000000,1.669678,7.560776,19.410996
9903,945.938232,1.573799,-1.749701,-2.087555,1.720553,-1.867293,-0.124127,0.000000,-0.000000,1.669678,7.716355,19.727958
9904,1001.867737,1.573799,-1.749701,-2.087555,2.042134,-2.220623,-0.147613,0.000000,-0.000000,1.670044,7.872349,20.044596
9905,997.309937,1.579875,-1.749658,-2.087555,2.312317,-1.607422,-0.107247,0.000000,-0.000000,1.670044,8.028754,20.360906
9906,1049.218994,1.585951,-1.749614,-2.087555,3.380305,-1.155629,-0.077919,0.000000,-0.000000,1.670044,8.185568,20.676883
