trial,M(1)orF(0),fx <- vx0  [N/(mm/s)] ,fx <- vy0,fy <- vx0,fy <- vy0,fx <- vx1,fx <- vy1,fy <- vx1,fy <- vy1,Visuomotor Rotation [deg],TargetAngle [deg],targetDistance [mm],targetForce [N],targetColor,errprCramp,ConnectionType
90,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
91,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
92,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
93,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
94,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
95,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
96,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
97,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
98,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
99,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
101,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
102,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
103,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
104,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
105,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
106,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
107,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
108,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
109,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
110,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
